Book,Page,Size,Type,CR,PB,Str,Dex,Con,Int,Wis,Cha,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save
Basic Rules,152,Medium,Undead,0.25,2,10,14,15,6,8,5,0,2,2,-2,-1,-3,0,2,2,-2,-1,-3
Explorer's Guide to Wildemount,221,Medium,Humanoid,1.0,2,16,11,15,13,10,12,3,0,2,1,0,1,3,0,2,1,0,1
Guildmasters' Guide to Ravnica,205,Huge,Aberration,15.0,5,22,16,17,2,14,18,6,3,3,-4,2,4,6,3,3,-4,2,4
Candlekeep Mysteries,136,Medium,Construct,5.0,3,16,14,18,3,10,1,3,2,4,-4,0,-5,3,2,4,-4,0,-5
Mordenkainen Presents: Monsters of the Multiverse,219,Medium,Monstrosity,0.5,2,6,19,10,10,7,1,-2,4,0,0,-2,-5,-2,4,2,0,-2,-5
Mordenkainen’s Tome of Foes,227,Medium,Humanoid,0.5,2,6,19,10,10,7,1,-2,4,0,0,-2,-5,-2,4,2,0,-2,-5
,,Medium,Construct,0.5,2,10,14,10,1,10,3,0,2,0,-5,0,-4,0,2,0,-5,0,-4
Baldur's Gate: Descent into Avernus,234,Medium,Humanoid,1.0,2,10,14,15,16,13,10,0,2,2,3,1,0,0,2,2,3,3,0
Mordenkainen Presents: Monsters of the Multiverse,220,Medium,Undead,15.0,5,14,16,17,16,15,21,2,3,3,3,2,5,2,3,3,3,2,5
Mordenkainen’s Tome of Foes,230,Medium,Undead,15.0,5,14,16,17,16,15,21,2,3,3,3,2,5,2,3,3,3,2,5
,,Medium,Aberration,5.0,3,19,11,18,7,12,9,4,0,4,-2,1,-1,4,0,4,-2,1,-1
Guildmasters' Guide to Ravnica,219,Large,Monstrosity,2.0,2,20,13,14,3,10,8,5,1,2,-4,0,-1,5,3,2,-4,2,-1
The Wild Beyond the Witchlight,220,Medium,Humanoid,2.0,2,9,11,14,12,15,17,-1,0,2,1,2,3,-1,0,2,1,4,5
Guildmasters' Guide to Ravnica,220,Gargantuan,Monstrosity,13.0,5,23,15,16,7,12,6,6,2,3,-2,1,-2,6,2,8,-2,1,-2
Princes of the Apocalypse,191,Medium,Humanoid,3.0,2,8,14,12,11,10,16,-1,2,1,0,0,3,-1,2,1,0,0,3
Monster Manual,276,Tiny,Aberration,0.125,2,7,15,10,3,5,3,-2,2,0,-4,-3,-4,-2,2,0,-4,-3,-4
Critical Role: Call of the Netherdeep,209,Large,Aberration,9.0,4,20,14,16,2,10,3,5,2,3,-4,0,-4,5,2,3,-4,0,-4
Mordenkainen Presents: Monsters of the Multiverse,221,Medium,Ooze,3.0,2,16,19,15,10,14,11,3,4,2,0,2,0,3,4,2,0,2,0
Volo's Guide to Monsters,191,Medium,Ooze,3.0,2,16,19,15,10,14,11,3,4,2,0,2,0,3,4,2,0,2,0
Baldur's Gate: Descent into Avernus,133,Medium,Fey,7.0,3,14,20,16,18,11,18,2,5,3,4,0,4,2,5,3,4,0,4
Monster Manual,217,Small,Elemental,0.25,2,6,14,12,10,10,11,-2,2,1,0,0,0,-2,2,1,0,0,0
Icewind Dale: Rime of the Frostmaiden,308,Medium,Construct,3.0,2,15,6,14,1,6,1,2,-2,2,-5,-2,-5,2,-2,2,-5,-2,-5
Basic Rules,262,Large,Celestial,21.0,7,26,22,26,25,25,30,8,6,8,7,7,10,8,6,8,14,14,17
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,53,Medium,Dragon,3.0,2,16,15,18,11,12,10,3,2,4,0,1,0,3,4,6,0,3,2
Guildmasters' Guide to Ravnica,226,Medium,Humanoid,0.5,2,13,12,12,10,11,11,1,1,1,0,0,0,1,1,1,0,0,0
Mordenkainen’s Tome of Foes,226,Medium,Humanoid,11.0,4,8,17,14,19,16,13,-1,3,2,4,3,1,-1,7,2,4,7,5
Journeys through the Radiant Citadel,47,Large,Undead,4.0,2,20,8,18,8,11,14,5,-1,4,-1,0,2,5,-1,4,-1,0,2
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,54,Medium,Fiend,2.0,2,16,16,14,11,11,16,3,3,2,0,0,3,3,3,2,0,0,3
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,55,Small,Beast,0.5,2,12,18,11,1,10,1,1,4,0,-5,0,-5,1,4,0,-5,0,-5
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,55,Small,Beast,0.0,2,3,16,10,1,10,1,-4,3,0,-5,0,-5,-4,3,0,-5,0,-5
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,56,Tiny,Monstrosity,0.25,2,1,20,10,6,12,6,-5,5,0,-2,1,-2,-5,5,0,-2,1,-2
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,57,Small,Beast,0.0,2,6,14,11,3,12,3,-2,2,0,-4,1,-4,-2,2,0,-4,1,-4
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,57,Medium,Beast,0.25,2,12,12,12,4,10,3,1,1,1,-3,0,-4,1,1,1,-3,0,-4
Mordenkainen Presents: Monsters of the Multiverse,225,Medium,Undead,5.0,3,16,11,18,5,7,3,3,0,4,-3,-2,-4,3,0,4,-3,1,-4
Volo's Guide to Monsters,192,Medium,Undead,5.0,3,16,11,18,5,7,3,3,0,4,-3,-2,-4,3,0,4,-3,1,-4
Basic Rules,153,Medium,Aberration,3.0,2,8,14,14,13,14,11,-1,2,2,1,2,0,-1,2,2,1,2,0
Basic Rules,346,Medium,Undead,1.0,2,1,14,11,10,10,11,-5,2,0,0,0,0,-5,2,0,0,0,0
Icewind Dale: Rime of the Frostmaiden,144,Small,Humanoid,0.5,2,6,15,14,15,9,16,-2,2,2,2,-1,3,-2,2,2,2,-1,3
Icewind Dale: Rime of the Frostmaiden,309,Gargantuan,Beast,8.0,3,26,8,17,3,12,5,8,-1,3,-4,1,-3,8,-1,3,-4,1,-3
Basic Rules,153,Tiny,Beast,0.0,2,2,14,8,1,10,2,-4,2,-1,-5,0,-4,-4,2,-1,-5,0,-4
Monster Manual,78,Small,Fiend,2.0,2,10,15,12,11,14,8,0,2,1,0,2,-1,0,2,1,0,2,-1
Basic Rules,335,Large,Monstrosity,8.0,3,18,17,14,16,15,16,4,3,2,3,2,3,4,6,5,3,5,6
Strixhaven: A Curriculum of Chaos,216,Medium,Construct,0.25,2,14,9,15,12,13,8,2,-1,2,1,1,-1,2,-1,2,1,1,-1
Mordenkainen Presents: Monsters of the Multiverse,247,Large,Giant,11.0,4,1,17,13,8,9,16,-5,3,1,-1,-1,3,-5,3,1,-1,-1,3
Mordenkainen’s Tome of Foes,244,Large,Giant,11.0,4,1,17,13,8,9,16,-5,3,1,-1,-1,3,-5,3,1,-1,-1,3
Icewind Dale: Rime of the Frostmaiden,302,Large,Monstrosity,5.0,3,21,12,17,9,15,10,5,1,3,-1,2,0,5,1,3,-1,2,0
Acquisitions Incorporated,213,Small,Humanoid,2.0,2,10,14,12,14,11,10,0,2,1,2,0,0,0,2,1,4,2,0
Mordenkainen Presents: Monsters of the Multiverse,116,Medium,Fey,10.0,4,14,16,16,18,11,18,2,3,3,4,0,4,2,3,3,4,0,4
Mordenkainen’s Tome of Foes,196,Medium,Fey,10.0,4,14,16,16,18,11,18,2,3,3,4,0,4,2,3,3,4,0,4
Basic Rules,348,Tiny,Fey,0.25,2,3,18,10,14,13,11,-4,4,0,2,1,0,-4,4,0,2,1,0
Basic Rules,402,Medium,Humanoid,1.0,2,10,15,10,12,14,16,0,2,0,1,2,3,0,2,0,1,2,3
The Wild Beyond the Witchlight,110,Tiny,Construct,0.25,2,3,15,10,11,8,15,-4,2,0,0,-1,2,-4,2,0,0,-1,2
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,58,Medium,Monstrosity,3.0,2,13,12,16,15,15,7,1,1,3,2,2,-2,1,1,5,4,2,-2
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,58,Medium,Monstrosity,0.5,2,13,12,13,12,12,7,1,1,1,1,1,-2,1,1,1,1,1,-2
Monstrous Compendium Volume One: Spelljammer Creatures,12,Large,Celestial,2.0,2,18,15,15,10,13,8,4,2,2,0,1,-1,4,4,4,0,1,-1
Mordenkainen Presents: Monsters of the Multiverse,227,Small,Aberration,0.25,2,6,13,10,9,11,6,-2,1,0,-1,0,-2,-2,1,0,-1,0,-2
Mordenkainen’s Tome of Foes,234,Small,Aberration,0.25,2,6,13,10,9,11,6,-2,1,0,-1,0,-2,-2,1,0,-1,0,-2
Mordenkainen’s Tome of Foes,234,Large,Aberration,10.0,4,20,8,21,7,12,9,5,-1,5,-2,1,-1,5,3,5,-2,5,-1
Mordenkainen Presents: Monsters of the Multiverse,227,Large,Aberration,10.0,4,20,8,21,7,12,9,5,-1,5,-2,1,-1,5,3,5,-2,5,-1
Mordenkainen Presents: Monsters of the Multiverse,228,Medium,Aberration,16.0,5,17,12,23,18,12,16,3,1,6,4,1,3,3,6,6,4,6,8
Mordenkainen’s Tome of Foes,235,Medium,Aberration,16.0,5,17,12,23,18,12,16,3,1,6,4,1,3,3,6,6,4,6,8
Mordenkainen’s Tome of Foes,236,Medium,Aberration,5.0,3,8,18,12,11,12,7,-1,4,1,0,1,-2,-1,7,4,0,1,-2
Mordenkainen Presents: Monsters of the Multiverse,229,Medium,Aberration,5.0,3,8,18,12,11,12,7,-1,4,1,0,1,-2,-1,7,4,0,1,-2
Mordenkainen Presents: Monsters of the Multiverse,230,Medium,Aberration,13.0,5,14,12,18,22,19,16,2,1,4,6,4,3,2,6,4,11,9,8
Mordenkainen’s Tome of Foes,236,Medium,Aberration,13.0,5,14,12,18,22,19,16,2,1,4,6,4,3,2,6,4,11,9,8
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,59,Medium,Celestial,5.0,3,1,11,10,18,16,16,-5,0,0,4,3,3,-5,0,0,4,3,3
,,Large,Elemental,10.0,4,19,11,20,6,11,9,4,0,5,-2,0,-1,4,0,5,-2,4,-1
Basic Rules,331,Small,Elemental,0.25,2,5,11,10,11,10,12,-3,0,0,0,0,1,-3,0,0,0,0,1
Candlekeep Mysteries,164,Medium,Humanoid,8.0,3,13,18,18,13,17,14,1,4,4,1,3,2,1,7,4,4,3,2
Mordenkainen Presents: Monsters of the Multiverse,232,Large,Construct,16.0,5,24,17,22,4,14,6,7,3,6,-3,2,-2,7,3,6,-3,2,-2
Mordenkainen’s Tome of Foes,239,Large,Construct,16.0,5,24,17,22,4,14,6,7,3,6,-3,2,-2,7,3,6,-3,2,-2
Volo's Guide to Monsters,140,Huge,Beast,4.0,2,20,9,17,2,11,5,5,-1,3,-4,0,-3,5,-1,3,-4,0,-3
Mordenkainen Presents: Monsters of the Multiverse,96,Huge,Beast,4.0,2,20,9,17,2,11,5,5,-1,3,-4,0,-3,5,-1,3,-4,0,-3
Mordenkainen Presents: Monsters of the Multiverse,72,Large,Fiend,0.5,2,18,10,14,2,10,4,4,0,2,-4,0,-3,4,0,2,-4,0,-3
Basic Rules,153,Tiny,Beast,0.125,2,4,16,11,2,8,6,-3,3,0,-4,-1,-2,-3,3,0,-4,-1,-2
Mordenkainen Presents: Monsters of the Multiverse,233,Medium,Construct,1.0,2,16,5,14,5,8,7,3,-3,2,-3,-1,-2,3,-3,2,-3,-1,-2
Mordenkainen’s Tome of Foes,240,Medium,Construct,1.0,2,16,5,14,5,8,7,3,-3,2,-3,-1,-2,3,-3,2,-3,-1,-2
Mordenkainen’s Tome of Foes,126,Medium,Construct,4.0,2,19,10,17,3,10,1,4,0,3,-4,0,-5,4,0,3,-4,0,-5
Basic Rules,313,Huge,Giant,7.0,3,23,15,20,10,12,9,6,2,5,0,1,-1,6,5,8,0,4,-1
Mordenkainen Presents: Monsters of the Multiverse,234,Huge,Giant,10.0,4,23,14,21,10,8,12,6,2,5,0,-1,1,6,6,9,0,3,1
Volo's Guide to Monsters,150,Huge,Giant,10.0,4,23,14,21,10,8,12,6,2,5,0,-1,1,6,6,9,0,3,1
Basic Rules,154,Large,Construct,10.0,4,22,9,20,3,11,1,6,-1,5,-4,0,-5,6,-1,5,-4,0,-5
,,Large,Construct,12.0,4,22,1,21,2,11,3,6,-5,5,-4,0,-4,6,-5,5,-4,0,-4
Princes of the Apocalypse,197,Medium,Humanoid,4.0,2,15,10,16,12,11,17,2,0,3,1,0,3,2,0,3,1,0,3
Basic Rules,313,Huge,Giant,13.0,5,29,14,20,16,18,18,9,2,5,3,4,4,14,2,10,3,9,9
Mordenkainen Presents: Monsters of the Multiverse,235,Huge,Giant,16.0,5,29,14,20,17,20,19,9,2,5,3,5,4,14,2,10,3,10,9
Volo's Guide to Monsters,151,Huge,Giant,16.0,5,29,14,20,17,20,19,9,2,5,3,5,4,14,2,10,3,10,9
Candlekeep Mysteries,208,Huge,Undead,16.0,5,29,14,15,3,8,1,9,2,2,-4,-1,-5,14,2,7,-4,-1,-5
Curse of Strahd,239,Medium,Undead,15.0,5,18,18,18,20,15,18,4,4,4,5,2,4,4,9,4,5,7,9
Curse of Strahd,241,Medium,Undead,1.0,2,13,6,16,3,6,5,1,-2,3,-4,-2,-3,1,-2,3,-4,0,-3
Curse of Strahd,225,Medium,Construct,6.0,3,17,13,16,9,10,9,3,1,3,-1,0,-1,3,1,3,-1,0,-1
Van Richten’s Guide to Ravenloft,246,Medium,Monstrosity,4.0,2,17,14,16,11,17,10,3,2,3,0,3,0,5,4,3,0,5,0
Strixhaven: A Curriculum of Chaos,217,Small,Construct,1.0,2,15,14,13,10,12,12,2,2,1,0,1,1,2,4,1,0,1,1
The Wild Beyond the Witchlight,228,Medium,Humanoid,4.0,2,15,12,13,12,13,17,2,1,1,1,1,3,2,1,1,1,3,5
Basic Rules,349,Medium,Fiend,4.0,2,8,17,13,15,12,20,-1,3,1,2,1,5,-1,3,1,2,1,5
Eberron: Rising from the Last War,304,Large,Fiend,28.0,8,18,21,19,30,22,25,4,5,4,10,6,7,4,5,12,18,14,15
Mordenkainen Presents: Monsters of the Multiverse,116,Medium,Fey,10.0,4,19,21,16,14,12,18,4,5,3,2,1,4,4,5,3,2,1,4
Mordenkainen’s Tome of Foes,196,Medium,Fey,10.0,4,19,21,16,14,12,18,4,5,3,2,1,4,4,5,3,2,1,4
,,Medium,Monstrosity,1.0,2,14,15,12,9,13,9,2,2,1,-1,1,-1,2,2,1,-1,1,-1
Guildmasters' Guide to Ravnica,202,Huge,Giant,10.0,4,23,15,21,10,12,9,6,2,5,0,1,-1,6,6,9,0,5,-1
Candlekeep Mysteries,19,Medium,Construct,0.25,2,10,13,12,1,10,1,0,1,1,-5,0,-5,0,1,1,-5,0,-5
Basic Rules,154,Medium,Beast,0.25,2,5,15,10,2,12,4,-3,2,0,-4,1,-3,-3,2,0,-4,1,-3
The Wild Beyond the Witchlight,232,Medium,Plant,1.0,2,3,7,10,4,10,8,-4,-2,0,-3,0,-1,-4,-2,0,-3,0,-1
Mordenkainen Presents: Monsters of the Multiverse,83,Medium,Aberration,5.0,3,9,14,10,15,11,14,-1,2,0,2,0,2,-1,2,0,2,0,2
Volo's Guide to Monsters,133,Medium,Beast,5.0,3,9,14,10,15,11,14,-1,2,0,2,0,2,-1,2,0,2,0,2
Van Richten’s Guide to Ravenloft,235,Medium,Monstrosity,2.0,2,12,14,10,12,14,4,1,2,0,1,2,-3,1,2,0,1,2,-3
Fizban's Treasury of Dragons,205,Medium,Monstrosity,2.0,2,6,16,11,3,8,6,-2,3,0,-4,-1,-2,-2,3,0,-4,-1,-2
Basic Rules,154,Medium,Beast,0.5,2,3,13,10,1,7,1,-4,1,0,-5,-2,-5,-4,1,0,-5,-2,-5
Van Richten’s Guide to Ravenloft,247,Medium,Beast,2.0,2,3,12,10,1,7,1,-4,1,0,-5,-2,-5,-4,1,0,-5,-2,-5
Basic Rules,155,Medium,Beast,2.0,2,8,18,11,1,10,3,-1,4,0,-5,0,-4,-1,4,0,-5,0,-4
Basic Rules,155,Medium,Beast,1.0,2,13,16,9,1,7,2,1,3,-1,-5,-2,-4,1,3,-1,-5,-2,-4
Basic Rules,155,Medium,Beast,0.25,2,9,11,9,2,10,3,-1,0,-1,-4,0,-4,-1,0,-1,-4,0,-4
Basic Rules,155,Medium,Beast,0.25,2,6,14,8,3,12,6,-2,2,-1,-4,1,-2,-2,2,-1,-4,1,-2
Volo's Guide to Monsters,208,Medium,Beast,0.5,2,2,7,10,1,2,1,-4,-2,0,-5,-4,-5,-4,-2,0,-5,-4,-5
Mordenkainen Presents: Monsters of the Multiverse,237,Medium,Beast,0.5,2,2,7,10,1,2,1,-4,-2,0,-5,-4,-5,-4,-2,0,-5,-4,-5
Van Richten’s Guide to Ravenloft,247,Medium,Beast,3.0,2,3,14,13,1,12,1,-4,2,1,-5,1,-5,-4,2,1,-5,1,-5
Critical Role: Call of the Netherdeep,210,Medium,Aberration,6.0,3,16,19,14,1,11,3,3,4,2,-5,0,-4,3,4,2,-5,0,-4
Van Richten’s Guide to Ravenloft,254,Medium,Undead,1.0,2,14,10,10,3,8,5,2,0,0,-4,-1,-3,2,0,0,-4,-1,-3
Mordenkainen Presents: Monsters of the Multiverse,238,Medium,Humanoid,3.0,2,12,18,12,14,11,15,1,4,1,2,0,2,1,4,1,2,0,2
Volo's Guide to Monsters,217,Medium,Humanoid,3.0,2,12,18,12,14,11,15,1,4,1,2,0,2,1,4,1,2,0,2
Explorer's Guide to Wildemount,300,Huge,Monstrosity,7.0,3,15,16,15,2,8,7,2,3,2,-4,-1,-2,2,3,2,-4,-1,-2
Mordenkainen Presents: Monsters of the Multiverse,239,Medium,Undead,8.0,3,18,14,18,11,12,14,4,2,4,0,1,2,4,2,4,0,1,2
Mordenkainen’s Tome of Foes,241,Medium,Undead,8.0,3,18,14,18,11,12,14,4,2,4,0,1,2,4,2,4,0,1,2
Mordenkainen’s Tome of Foes,241,Medium,Undead,3.0,2,18,12,17,6,9,10,4,1,3,-2,-1,0,4,1,3,-2,-1,0
Mordenkainen Presents: Monsters of the Multiverse,239,Medium,Undead,3.0,2,18,12,17,6,9,10,4,1,3,-2,-1,0,4,1,3,-2,-1,0
,,Medium,Humanoid,1.0,2,10,17,11,13,14,15,0,3,0,1,2,2,0,3,0,1,2,2
,,Medium,Humanoid,0.25,2,10,15,11,14,12,16,0,2,0,2,1,3,0,2,0,2,1,3
,,Medium,Humanoid,5.0,3,14,12,14,10,16,16,2,1,2,0,3,3,2,1,2,0,6,6
Volo's Guide to Monsters,186,Medium,Fiend,5.0,3,18,13,20,9,9,9,4,1,5,-1,-1,-1,4,1,5,-1,-1,-1
Mordenkainen Presents: Monsters of the Multiverse,240,Medium,Fiend,5.0,3,18,13,20,9,9,9,4,1,5,-1,-1,-1,4,1,5,-1,-1,-1
Strixhaven: A Curriculum of Chaos,218,Gargantuan,Dragon,24.0,7,28,14,27,28,18,17,9,2,8,9,4,3,9,9,15,9,11,10
Eberron: Rising from the Last War,319,Medium,Humanoid,2.0,2,12,16,14,10,14,11,1,3,2,0,2,0,1,3,2,0,2,0
Basic Rules,350,Gargantuan,Monstrosity,30.0,9,30,11,30,3,11,11,10,0,10,-4,0,0,10,0,10,5,9,9
Dead in Thay,244,Medium,Undead,13.0,5,11,16,16,19,14,16,0,3,3,4,2,3,0,3,8,9,7,3
,,Medium,Humanoid,9.0,4,18,15,14,10,14,12,4,2,2,0,2,1,8,2,6,0,2,1
The Hidden Shrine of Tamoachan,245,Large,Monstrosity,4.0,2,17,10,16,15,16,13,3,0,3,2,3,1,3,0,3,2,3,1
Baldur's Gate: Descent into Avernus,42,Medium,Humanoid,0.5,2,12,10,11,15,18,16,1,0,0,2,4,3,1,0,0,2,4,3
Dead in Thay,245,Medium,Humanoid,2.0,2,10,14,12,15,13,11,0,2,1,2,1,0,0,2,1,2,1,0
Dead in Thay,246,Medium,Humanoid,2.0,2,16,13,14,10,11,11,3,1,2,0,0,0,3,1,2,0,0,0
Mordenkainen’s Tome of Foes,231,Medium,Monstrosity,13.0,5,17,10,19,8,13,6,3,0,4,-1,1,-2,3,0,4,-1,1,-2
Mordenkainen’s Tome of Foes,232,Medium,Monstrosity,11.0,4,19,10,17,6,11,6,4,0,3,-2,0,-2,4,0,3,-2,0,-2
Mordenkainen’s Tome of Foes,232,Medium,Monstrosity,9.0,4,16,12,17,6,11,6,3,1,3,-2,0,-2,3,1,3,-2,0,-2
Eberron: Rising from the Last War,300,Medium,Humanoid,18.0,6,20,15,18,19,17,18,5,2,4,4,3,4,11,2,10,10,9,4
Mordenkainen’s Tome of Foes,233,Medium,Monstrosity,7.0,3,17,12,15,6,7,5,3,1,2,-2,-2,-3,3,1,2,-2,-2,-3
Mordenkainen’s Tome of Foes,233,Small,Monstrosity,0.25,2,7,12,9,5,6,5,-2,1,-1,-3,-2,-3,-2,1,-1,-3,-2,-3
Mythic Odysseys of Theros,216,Large,Monstrosity,7.0,3,18,13,19,3,14,10,4,1,4,-4,2,0,4,1,7,-4,5,0
Infernal Machine Rebuild,57,Medium,Humanoid,12.0,4,10,12,13,19,16,16,0,1,1,4,3,3,0,1,5,8,7,3
Infernal Machine Rebuild,86,Tiny,Construct,0.0,2,4,15,12,10,10,7,-3,2,1,0,0,-2,-3,2,1,0,0,-2
,,Huge,Monstrosity,4.0,2,19,12,20,5,10,7,4,1,5,-3,0,-2,4,1,5,-3,0,-2
Infernal Machine Rebuild,87,Gargantuan,Monstrosity,14.0,5,24,11,20,19,15,17,7,0,5,4,2,3,12,5,10,9,7,3
The Hidden Shrine of Tamoachan,246,Large,Plant,0.5,2,13,12,12,1,10,1,1,1,1,-5,0,-5,1,1,1,-5,0,-5
Volo's Guide to Monsters,197,Medium,Plant,1.0,2,13,12,13,2,10,6,1,1,1,-4,0,-2,1,1,1,-4,0,-2
Mordenkainen Presents: Monsters of the Multiverse,253,Medium,Plant,1.0,2,13,12,13,2,10,6,1,1,1,-4,0,-2,1,1,1,-4,0,-2
Guildmasters' Guide to Ravnica,233,Medium,Humanoid,1.0,2,11,14,10,16,13,14,0,2,0,3,1,2,0,2,0,3,1,2
,,Large,Monstrosity,6.0,3,19,10,17,2,10,7,4,0,3,-4,0,-2,7,0,6,-4,0,-2
Monster Manual,288,Medium,Humanoid,1.0,2,12,15,13,8,12,7,1,2,1,-1,1,-2,1,2,1,-1,1,-2
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,60,Medium,Monstrosity,7.0,3,18,18,16,10,15,11,4,4,3,0,2,0,7,7,3,0,5,0
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,61,Medium,Monstrosity,2.0,2,15,16,13,10,14,9,2,3,1,0,2,-1,2,3,1,0,2,-1
Spelljammer: Adventures in Space • Boo’s Astral Menagerie,61,Medium,Monstrosity,5.0,3,12,15,13,12,16,10,1,2,1,1,3,0,1,2,1,1,3,0
Basic Rules,164,Medium,Humanoid,0.5,2,15,11,14,10,10,11,2,0,2,0,0,0,2,0,2,0,0,0
Princes of the Apocalypse,192,Medium,Humanoid,3.0,2,16,14,14,11,10,15,3,2,2,0,0,2,3,2,2,0,0,2
Baldur's Gate: Descent into Avernus,34,Medium,Humanoid,0.125,2,7,8,6,15,17,12,-2,-1,-2,2,3,1,-2,-1,-2,2,3,1
,,Gargantuan,Fiend,30.0,9,30,10,30,26,26,28,10,0,10,8,8,9,19,9,10,8,17,9
Basic Rules,156,Large,Beast,1.0,2,17,15,14,3,12,8,3,2,2,-4,1,-1,3,2,2,-4,1,-1
Mordenkainen’s Tome of Foes,178,Medium,Fiend,16.0,5,19,22,17,24,22,26,4,6,3,7,6,8,4,11,8,7,11,13
Mordenkainen Presents: Monsters of the Multiverse,242,Medium,Fiend,16.0,5,19,22,17,24,22,26,4,6,3,7,6,8,4,11,8,7,11,13
Journeys through the Radiant Citadel,65,Medium,Fiend,5.0,3,12,17,14,10,15,10,1,3,2,0,2,0,1,6,5,0,2,0
Journeys through the Radiant Citadel,119,Huge,Elemental,10.0,4,25,10,17,7,13,9,7,0,3,-2,1,-1,7,0,3,-2,1,-1
Mordenkainen Presents: Monsters of the Multiverse,243,Large,Monstrosity,5.0,3,16,13,16,8,12,8,3,1,3,-1,1,-1,3,1,3,-1,1,-1
Volo's Guide to Monsters,193,Large,Monstrosity,5.0,3,16,13,16,8,12,8,3,1,3,-1,1,-1,3,1,3,-1,1,-1
Icewind Dale: Rime of the Frostmaiden,310,Huge,Construct,10.0,4,22,10,21,14,14,11,6,0,5,2,2,0,6,0,5,2,2,0
,,Medium,Fiend,3.0,2,17,12,14,6,13,6,3,1,2,-2,1,-2,3,1,2,-2,1,-2
Fizban's Treasury of Dragons,223,Medium,Dragon,2.0,2,15,12,13,14,13,14,2,1,1,2,1,2,2,3,3,2,3,4
,,Small,Undead,0.5,2,7,15,12,6,10,5,-2,2,1,-2,0,-3,-2,2,1,-2,0,-3
Baldur's Gate: Descent into Avernus,112,Large,Monstrosity,11.0,4,25,17,20,8,9,16,7,3,5,-1,-1,3,11,3,9,-1,-1,3
Mordenkainen Presents: Monsters of the Multiverse,244,Medium,Humanoid,0.25,2,15,10,12,11,13,12,2,0,1,0,1,1,2,0,1,0,1,1
,,Medium,Humanoid,0.25,2,15,10,12,11,13,12,2,0,1,0,1,1,2,0,1,0,1,1
,,Medium,Humanoid,2.0,2,14,10,12,11,15,12,2,0,1,0,2,1,2,0,1,0,2,1
Mordenkainen Presents: Monsters of the Multiverse,244,Medium,Humanoid,2.0,2,14,10,12,11,15,12,2,0,1,0,2,1,2,0,1,0,2,1
Volo's Guide to Monsters,218,Medium,Humanoid,5.0,3,9,14,11,17,12,11,-1,2,0,3,1,0,-1,2,0,6,4,0
Mordenkainen Presents: Monsters of the Multiverse,265,Medium,Humanoid,5.0,3,9,14,11,17,12,11,-1,2,0,3,1,0,-1,2,0,6,4,0
Mordenkainen Presents: Monsters of the Multiverse,245,Large,Monstrosity,3.0,2,17,10,17,2,13,4,3,0,3,-4,1,-3,3,0,3,-4,1,-3
Volo's Guide to Monsters,194,Large,Monstrosity,3.0,2,17,10,17,2,13,4,3,0,3,-4,1,-3,3,0,3,-4,1,-3
Basic Rules,351,Huge,Plant,9.0,4,23,8,21,12,16,12,6,-1,5,1,3,1,6,-1,5,1,3,1
The Wild Beyond the Witchlight,36,Large,Plant,2.0,2,17,8,15,12,12,10,3,-1,2,1,1,0,3,-1,2,1,1,0
Curse of Strahd,230,Huge,Plant,7.0,3,23,10,20,6,10,3,6,0,5,-2,0,-4,6,0,5,-2,0,-4
Storm King's Thunder,242,Tiny,Monstrosity,0.0,2,3,15,10,11,12,12,-4,2,0,0,1,1,-4,2,0,0,1,1
Basic Rules,402,Medium,Humanoid,0.125,2,13,11,12,8,11,8,1,0,1,-1,0,-1,1,0,1,-1,0,-1
Basic Rules,156,Huge,Beast,5.0,3,22,9,17,2,11,5,6,-1,3,-4,0,-3,6,-1,3,-4,0,-3
Monster Manual,225,Medium,Construct,0.5,2,12,13,12,9,10,9,1,1,1,-1,0,-1,1,1,1,-1,0,-1
,,Medium,Plant,0.5,2,1,10,12,1,10,1,-5,0,1,-5,0,-5,-5,0,1,-5,0,-5
Mythic Odysseys of Theros,245,Medium,Humanoid,8.0,3,16,11,16,10,12,19,3,0,3,0,1,4,3,3,3,3,1,7
Mythic Odysseys of Theros,244,Medium,Humanoid,2.0,2,11,16,14,10,15,11,0,3,2,0,2,0,0,3,2,0,2,0
Monster Manual,290,Medium,Humanoid,0.25,2,14,10,14,6,10,6,2,0,2,-2,0,-2,2,0,2,-2,0,-2
,,Medium,Humanoid,3.0,2,18,12,18,8,12,12,4,1,4,-1,1,1,4,1,4,-1,1,1
Basic Rules,156,Large,Giant,5.0,3,18,13,20,7,9,7,4,1,5,-2,-1,-2,4,1,5,-2,-1,-2
